abstract,document_type,_id,keywords,news_desk,print_page,print_section,pub_date,section_name,snippet,source,subsection_name,type_of_material,uri,web_url,word_count,byline.original,headline.main,headline.kicker,headline.print_headline,multimedia.caption,multimedia.credit,multimedia.default.url,multimedia.default.height,multimedia.default.width,multimedia.thumbnail.url,multimedia.thumbnail.height,multimedia.thumbnail.width,headline,text
"A parliamentary adviser told a state-run news outlet that some people he accused of involvement in the assassination last month of the scientist, Mohsen Fakhrizadeh, had been arrested.",article,nyt://article/b5efb3f9-df75-5f0d-835e-7e8f4799d80e,"[{'name': 'Subject', 'value': 'Nuclear Weapons', 'rank': 1}, {'name': 'Person', 'value': 'Fakhrizadeh, Mohsen', 'rank': 2}, {'name': 'Location', 'value': 'Iran', 'rank': 3}]",Foreign,18.0,A,2020-12-09 13:13:01+00:00,World,"A parliamentary adviser told a state-run news outlet that some people he accused of involvement in the assassination last month of the scientist, Mohsen Fakhrizadeh, had been arrested.",The New York Times,Middle East,News,nyt://article/b5efb3f9-df75-5f0d-835e-7e8f4799d80e,https://www.nytimes.com/2020/12/09/world/middleeast/iran-mohsen-fakhrizadeh-arrests.html,340,By Megan Specia,Iran Claims Arrests in Killing of Top Nuclear Scientist,,Iran Claims Arrests in Killing of Its Top Nuclear Scientist,"Members of Iranian forces carrying the coffin of the country’s top nuclear scientist, Mohsen Fakhrizadeh, during his funeral in Tehran last month.","Iranian Defense Ministry, via Reuters",https://static01.nyt.com/images/2020/12/09/world/09iran-arrests/merlin_180669636_3041da30-6a05-43fa-8924-bb09b3883e41-articleLarge.jpg,400,600,https://static01.nyt.com/images/2020/12/09/world/09iran-arrests/merlin_180669636_3041da30-6a05-43fa-8924-bb09b3883e41-thumbStandard.jpg,75,75,Iran Claims Arrests in Killing of Top Nuclear Scientist,"Iran Claims Arrests in Killing of Top Nuclear Scientist A parliamentary adviser told a state-run news outlet that some people he accused of involvement in the assassination last month of the scientist, Mohsen Fakhrizadeh, had been arrested. A parliamentary adviser told a state-run news outlet that some people he accused of involvement in the assassination last month of the scientist, Mohsen Fakhrizadeh, had been arrested."
,article,nyt://article/50994d46-ad2d-53fd-9e91-61525c393bf1,[],Foreign,,,2020-12-03 16:26:32+00:00,World,,The New York Times,,Live Blog Post,nyt://article/50994d46-ad2d-53fd-9e91-61525c393bf1,https://www.nytimes.com/live/2020/12/03/world/covid-19-coronavirus/as-the-uk-claims-bragging-rights-for-the-best-vaccine-regulators-yes-really-us-officials-beg-to-differ,436,By Benjamin Mueller,"As the U.K. claims bragging rights for the best vaccine regulators (yes, really), U.S. officials beg to differ.",,,Dr. Anthony S. Fauci said the F.D.A.’s vaccine approval process was the “gold standard.”,Stefani Reynolds for The New York Times,https://static01.nyt.com/images/2020/12/03/world/03VIRUS-BRIEFING-UK1/merlin_180220632_d2e7bc96-8f29-489e-b773-40e65699a2b6-articleLarge.jpg,400,600,https://static01.nyt.com/images/2020/12/03/world/03VIRUS-BRIEFING-UK1/03VIRUS-BRIEFING-UK1-thumbStandard.jpg,75,75,"As the U.K. claims bragging rights for the best vaccine regulators (yes, really), U.S. officials beg to differ.","As the U.K. claims bragging rights for the best vaccine regulators (yes, really), U.S. officials beg to differ."
"When a state tabloid suggested that China had set a global standard for kimchi, social media users accused Beijing of misappropriating a Korean culinary staple.",article,nyt://article/dbcfb039-75fd-5a00-aa8e-66fa5a396706,"[{'name': 'Subject', 'value': 'Kimchi (South Korean Food)', 'rank': 1}, {'name': 'Location', 'value': 'South Korea', 'rank': 2}, {'name': 'Location', 'value': 'China', 'rank': 3}, {'name': 'Organization', 'value': 'Global Times', 'rank': 4}, {'name': 'Organization', 'value': 'International Organization for Standardization', 'rank': 5}, {'name': 'Subject', 'value': 'Standards and Standardization', 'rank': 6}, {'name': 'Subject', 'value': 'International Relations', 'rank': 7}]",Foreign,10.0,A,2020-12-02 03:00:40+00:00,World,"When a state tabloid suggested that China had set a global standard for kimchi, social media users accused Beijing of misappropriating a Korean culinary staple.",The New York Times,Asia Pacific,News,nyt://article/dbcfb039-75fd-5a00-aa8e-66fa5a396706,https://www.nytimes.com/2020/12/01/world/asia/south-korea-china-kimchi-paocai.html,949,By Youmi Kim and Mike Ives,"Is China Laying Claim to Kimchi, Too? Some South Koreans Think So",,South Korea and China Wage Turf War Online Over Preparing Kimchi,Making kimchi at a Seoul market. Much of the factory-made kimchi eaten in South Korea now comes from China.,Jean Chung for The New York Times,https://static01.nyt.com/images/2020/12/01/world/01KIMCHI-WAR01/01KIMCHI-WAR01-articleLarge-v2.jpg,400,600,https://static01.nyt.com/images/2020/12/01/world/01KIMCHI-WAR01/01KIMCHI-WAR01-thumbStandard-v3.jpg,75,75,"Is China Laying Claim to Kimchi, Too? Some South Koreans Think So","Is China Laying Claim to Kimchi, Too? Some South Koreans Think So When a state tabloid suggested that China had set a global standard for kimchi, social media users accused Beijing of misappropriating a Korean culinary staple. When a state tabloid suggested that China had set a global standard for kimchi, social media users accused Beijing of misappropriating a Korean culinary staple."
"After heavy artillery strikes on Saturday, the federal government claimed the city of Mekelle was now under its control, but there was no way to independently confirm the assertion.",article,nyt://article/c935b38c-c9ea-5cc2-9d07-1a98508b7f66,"[{'name': 'Location', 'value': 'Ethiopia', 'rank': 1}, {'name': 'Location', 'value': 'Tigray (Ethiopia)', 'rank': 2}, {'name': 'Person', 'value': 'Ahmed, Abiy', 'rank': 3}, {'name': 'Organization', 'value': 'African Union', 'rank': 4}, {'name': 'Organization', 'value': ""Tigray People's Liberation Front"", 'rank': 5}, {'name': 'Subject', 'value': 'War and Armed Conflicts', 'rank': 6}, {'name': 'Subject', 'value': 'Tigrayans (Ethnic Group)', 'rank': 7}, {'name': 'Subject', 'value': 'Defense and Military Forces', 'rank': 8}, {'name': 'Location', 'value': 'Africa', 'rank': 9}, {'name': 'Location', 'value': 'Eritrea', 'rank': 10}]",Foreign,19.0,A,2020-11-28 19:00:50+00:00,World,"After heavy artillery strikes on Saturday, the federal government claimed the city of Mekelle was now under its control, but there was no way to independently confirm the assertion.",The New York Times,Africa,News,nyt://article/c935b38c-c9ea-5cc2-9d07-1a98508b7f66,https://www.nytimes.com/2020/11/28/world/africa/ethiopia-tigray-Mekelle-assault.html,1073,By Simon Marks,Ethiopia Claims Victory in Tigray Conflict After Shelling Restive Region’s Capital,,Ethiopia Says It Controls Tigray City After Shelling,People who fled the conflict in Ethiopia&rsquo;s Tigray region arriving at a refugee camp in Sudan on Thursday.,Nariman El-Mofty/Associated Press,https://static01.nyt.com/images/2020/11/29/world/29Ethiopia-print1/merlin_180493014_62da744f-d502-4457-b138-f563f773b388-articleLarge.jpg,400,600,https://static01.nyt.com/images/2020/11/29/world/29Ethiopia-print1/28Ethiopia1-thumbStandard.jpg,75,75,Ethiopia Claims Victory in Tigray Conflict After Shelling Restive Region’s Capital,"Ethiopia Claims Victory in Tigray Conflict After Shelling Restive Region’s Capital After heavy artillery strikes on Saturday, the federal government claimed the city of Mekelle was now under its control, but there was no way to independently confirm the assertion. After heavy artillery strikes on Saturday, the federal government claimed the city of Mekelle was now under its control, but there was no way to independently confirm the assertion."
,article,nyt://article/e6607590-b3ae-524c-acc1-ebaadccaf209,[],Foreign,,,2020-11-27 11:43:01+00:00,World,,The New York Times,,News,nyt://article/e6607590-b3ae-524c-acc1-ebaadccaf209,https://www.nytimes.com/2020/11/27/world/the-militarys-role-in-a-vaccine-will-be-strictly-behind-the-scenes-despite-trumps-claims.html,302,By Jennifer Steinhauer,"The military’s role in a vaccine will be strictly behind the scenes, despite Trump’s claims.",,,Members of the National Guard at the Texas Division of Emergency Management’s warehouse in San Antonio. The military has worked behind the scenes to bring a virus vaccine to the public.,Eric Gay/Associated Press,https://static01.nyt.com/images/2020/11/25/us/politics/26virus-brief-military-vaccine/merlin_175301421_c54129b3-571d-41a3-9dfb-4668b276b269-articleLarge.jpg,378,600,https://static01.nyt.com/images/2020/11/25/us/politics/26virus-brief-military-vaccine/26virus-brief-military-vaccine-thumbStandard-v2.jpg,75,75,"The military’s role in a vaccine will be strictly behind the scenes, despite Trump’s claims.","The military’s role in a vaccine will be strictly behind the scenes, despite Trump’s claims."
,article,nyt://article/a391f751-7547-58ce-bf24-e6bb809766b7,[],Foreign,,,2020-11-26 21:28:41+00:00,World,,The New York Times,,Live Blog Post,nyt://article/a391f751-7547-58ce-bf24-e6bb809766b7,https://www.nytimes.com/live/2020/11/26/world/covid-19-coronavirus/the-militarys-role-in-a-vaccine-will-be-strictly-behind-the-scenes-despite-trumps-claims,302,By Jennifer Steinhauer,"The military’s role in a vaccine will be strictly behind the scenes, despite Trump’s claims.",,,Members of the National Guard at the Texas Division of Emergency Management’s warehouse in San Antonio. The military has worked behind the scenes to bring a virus vaccine to the public.,Eric Gay/Associated Press,https://static01.nyt.com/images/2020/11/25/us/politics/26virus-brief-military-vaccine/merlin_175301421_c54129b3-571d-41a3-9dfb-4668b276b269-articleLarge.jpg,378,600,https://static01.nyt.com/images/2020/11/25/us/politics/26virus-brief-military-vaccine/26virus-brief-military-vaccine-thumbStandard-v2.jpg,75,75,"The military’s role in a vaccine will be strictly behind the scenes, despite Trump’s claims.","The military’s role in a vaccine will be strictly behind the scenes, despite Trump’s claims."
,article,nyt://article/329643c7-ce9d-55cc-905d-6d40314779ea,[],Foreign,,,2020-11-25 12:58:37+00:00,World,,The New York Times,,Live Blog Post,nyt://article/329643c7-ce9d-55cc-905d-6d40314779ea,https://www.nytimes.com/live/2020/11/25/world/covid-19-coronavirus/unemployment-claims-in-the-us-jumped-last-week-as-virus-cases-surged,260,By Ben Casselman,Unemployment claims in the U.S. jumped last week as virus cases surged.,,,"In Orchard Park, N.Y., demonstrators on Monday protested business shutdowns ordered by Gov. Andrew Cuomo.",Libby March for The New York Times,https://static01.nyt.com/images/2020/11/25/us/25economy-briefing-jobless/25economy-briefing-jobless-articleLarge.jpg,400,600,https://static01.nyt.com/images/2020/11/25/us/25economy-briefing-jobless/25economy-briefing-jobless-thumbStandard.jpg,75,75,Unemployment claims in the U.S. jumped last week as virus cases surged.,Unemployment claims in the U.S. jumped last week as virus cases surged.
,article,nyt://article/3895034d-c0bf-55ac-a6c8-41bd77c9310e,[],Foreign,,,2020-11-19 12:16:39+00:00,World,,The New York Times,,Live Blog Post,nyt://article/3895034d-c0bf-55ac-a6c8-41bd77c9310e,https://www.nytimes.com/live/2020/11/19/world/covid-19-coronavirus/there-were-743000-new-state-claims-for-unemployment-insurance-filed-in-the-us-last-week,291,By Nelson D. Schwartz,"There were 743,000 new state claims for unemployment insurance filed in the U.S. last week.",,,"A closed theater in Albuquerque, where a statewide stay-at-home order is in effect. Jobless claims have been drifting lower lately, despite new restrictions on business activity in some states.",Adria Malcolm for The New York Times,https://static01.nyt.com/images/2020/11/19/us/19economy-briefing-jobless/19economy-briefing-jobless-articleLarge.jpg,400,600,https://static01.nyt.com/images/2020/11/19/us/19economy-briefing-jobless/19economy-briefing-jobless-thumbStandard.jpg,75,75,"There were 743,000 new state claims for unemployment insurance filed in the U.S. last week.","There were 743,000 new state claims for unemployment insurance filed in the U.S. last week."
"A quarter-century after the princess admitted infidelity in a landmark interview with Martin Bashir, the journalist is facing renewed accusations of behaving unethically to secure the scoop.",article,nyt://article/0827dcb0-17d4-58cf-8ff7-958e56cc9d16,"[{'name': 'Person', 'value': 'Bashir, Martin', 'rank': 1}, {'name': 'Person', 'value': 'Diana, Princess of Wales', 'rank': 2}, {'name': 'Subject', 'value': 'News and News Media', 'rank': 3}, {'name': 'Organization', 'value': 'British Broadcasting Corp', 'rank': 4}, {'name': 'Organization', 'value': 'ITV (TV Network)', 'rank': 5}, {'name': 'Subject', 'value': 'Ethics and Official Misconduct', 'rank': 6}, {'name': 'Location', 'value': 'Great Britain', 'rank': 7}, {'name': 'Subject', 'value': 'Royal Families', 'rank': 8}, {'name': 'Title', 'value': 'Panorama (TV Program)', 'rank': 9}, {'name': 'Subject', 'value': 'Documentary Films and Programs', 'rank': 10}]",Foreign,12.0,A,2020-11-11 09:21:37+00:00,World,"A quarter-century after the princess admitted infidelity in a landmark interview with Martin Bashir, the journalist is facing renewed accusations of behaving unethically to secure the scoop.",The New York Times,Europe,News,nyt://article/0827dcb0-17d4-58cf-8ff7-958e56cc9d16,https://www.nytimes.com/2020/11/11/world/europe/bbc-martin-bashir-diana-interview.html,943,By Isabella Kwai,BBC Orders Inquiry Into Diana Interview After Claim Princess Was Misled,,BBC Orders Inquiry Into Diana Interview Over New Claims She Was Misled,"Martin Bashir’s 1995 interview with Diana, Princess of Wales, attracted an audience of 23 million, according to the BBC.","Tim Graham/Corbis, via Getty Images",https://static01.nyt.com/images/2020/11/10/world/10bbc-diana/10bbc-diana-articleLarge.jpg,427,600,https://static01.nyt.com/images/2020/11/10/world/10bbc-diana/10bbc-diana-thumbStandard.jpg,75,75,BBC Orders Inquiry Into Diana Interview After Claim Princess Was Misled,"BBC Orders Inquiry Into Diana Interview After Claim Princess Was Misled A quarter-century after the princess admitted infidelity in a landmark interview with Martin Bashir, the journalist is facing renewed accusations of behaving unethically to secure the scoop. A quarter-century after the princess admitted infidelity in a landmark interview with Martin Bashir, the journalist is facing renewed accusations of behaving unethically to secure the scoop."
"The country asserted on Sunday that its military had gained control of a strategically important site that overlooks the regional capital, Stepanakert. Armenian officials said fighting continued.",article,nyt://article/28a02b92-83b6-599f-ba4f-79c1d4b25fd9,"[{'name': 'Subject', 'value': 'Defense and Military Forces', 'rank': 1}, {'name': 'Subject', 'value': 'War and Armed Conflicts', 'rank': 2}, {'name': 'Location', 'value': 'Armenia', 'rank': 3}, {'name': 'Location', 'value': 'Azerbaijan', 'rank': 4}, {'name': 'Location', 'value': 'Nagorno-Karabakh', 'rank': 5}]",Foreign,10.0,A,2020-11-08 16:35:25+00:00,World,"The country asserted on Sunday that its military had gained control of a strategically important site that overlooks the regional capital, Stepanakert. Armenian officials said fighting continued.",The New York Times,Europe,News,nyt://article/28a02b92-83b6-599f-ba4f-79c1d4b25fd9,https://www.nytimes.com/2020/11/08/world/europe/nagorno-karabakh-azerbaijan-shusha.html,469,By Andrew E. Kramer,Azerbaijan Claims Capture of Key Town in Nagorno-Karabakh,,Armenia Disputes Azerbaijan’s Claim of Seizing Key Town in Nagorno-Karabakh,Fighting between Armenian and Azerbaijani forces raged on Sunday near a hilltop town in Nagorno-Karabakh known as Shusha to Azerbaijanis and Shushi to Armenians.,Associated Press,https://static01.nyt.com/images/2020/11/08/world/08nagorno-karabakh/merlin_179677500_7ce5fa32-92df-42da-86f2-99f727a7b603-articleLarge.jpg,376,600,https://static01.nyt.com/images/2020/11/08/world/08nagorno-karabakh/merlin_179677500_7ce5fa32-92df-42da-86f2-99f727a7b603-thumbStandard.jpg,75,75,Azerbaijan Claims Capture of Key Town in Nagorno-Karabakh,"Azerbaijan Claims Capture of Key Town in Nagorno-Karabakh The country asserted on Sunday that its military had gained control of a strategically important site that overlooks the regional capital, Stepanakert. Armenian officials said fighting continued. The country asserted on Sunday that its military had gained control of a strategically important site that overlooks the regional capital, Stepanakert. Armenian officials said fighting continued."
,article,nyt://article/b044da3f-1e92-5c80-a8ab-aca0fe7f18d6,[],Foreign,,,2020-10-22 12:47:43+00:00,World,,The New York Times,,News,nyt://article/b044da3f-1e92-5c80-a8ab-aca0fe7f18d6,https://www.nytimes.com/2020/10/22/world/new-state-unemployment-claims-in-the-us-fell-below-800000-last-week.html,249,By Patricia Cohen,"New state unemployment claims in the U.S. fell below 800,000 last week.",,,"Families at a food bank in Vallejo, Calif., on Wednesday. Every week, more Americans join the ranks of the long-term unemployed — those out of work for more than 27 weeks.",Sarahbeth Maney for The New York Times,https://static01.nyt.com/images/2020/10/22/us/22markets-briefing-jobless-main/22markets-briefing-jobless-main-articleLarge.jpg,400,600,https://static01.nyt.com/images/2020/10/22/us/22markets-briefing-jobless-main/22markets-briefing-jobless-main-thumbStandard.jpg,75,75,"New state unemployment claims in the U.S. fell below 800,000 last week.","New state unemployment claims in the U.S. fell below 800,000 last week."
Local officials blamed an Islamist militant group for the assault on the prison and a nearby military camp in the northeastern part of the country.,article,nyt://article/396658e6-61a5-5ba3-91bc-e7d9fd5d2b80,"[{'name': 'Location', 'value': 'Congo, Democratic Republic of (Congo-Kinshasa)', 'rank': 1}, {'name': 'Subject', 'value': 'Prison Escapes', 'rank': 2}, {'name': 'Organization', 'value': 'Allied Democratic Forces', 'rank': 3}, {'name': 'Organization', 'value': 'Islamic State in Iraq and Syria (ISIS)', 'rank': 4}, {'name': 'Subject', 'value': 'Terrorism', 'rank': 5}]",Foreign,11.0,A,2020-10-20 07:20:13+00:00,World,Local officials blamed an Islamist militant group for the assault on the prison and a nearby military camp in the northeastern part of the country.,The New York Times,Africa,News,nyt://article/396658e6-61a5-5ba3-91bc-e7d9fd5d2b80,https://www.nytimes.com/2020/10/20/world/africa/congo-jail-attack-prisoners-freed.html,651,By Mike Ives and Isabella Kwai,"1,300 Prisoners Escape From Congo Jail After an Attack Claimed by ISIS",,"ISIS Claims Prison Attack That Freed 1,300 in Congo","The entrance of the Kangbayi prison was breached during the attack in Beni, Democratic Republic of Congo, on Tuesday.","EPA, via Shutterstock",https://static01.nyt.com/images/2020/10/20/world/20congo/merlin_178785246_e0512e0c-cdb4-407d-9eb5-d2db04feb359-articleLarge.jpg,416,600,https://static01.nyt.com/images/2020/10/20/world/20congo/merlin_178785246_e0512e0c-cdb4-407d-9eb5-d2db04feb359-thumbStandard.jpg,75,75,"1,300 Prisoners Escape From Congo Jail After an Attack Claimed by ISIS","1,300 Prisoners Escape From Congo Jail After an Attack Claimed by ISIS Local officials blamed an Islamist militant group for the assault on the prison and a nearby military camp in the northeastern part of the country. Local officials blamed an Islamist militant group for the assault on the prison and a nearby military camp in the northeastern part of the country."
,article,nyt://article/884a773d-5e5c-5c50-9242-1e4bbb461e86,[],Foreign,,,2020-10-15 13:04:07+00:00,World,,The New York Times,,News,nyt://article/884a773d-5e5c-5c50-9242-1e4bbb461e86,https://www.nytimes.com/2020/10/15/world/nearly-900000-people-in-the-us-filed-new-state-unemployment-claims-last-week.html,277,By Nelson D. Schwartz,"Nearly 900,000 people in the U.S. filed new state unemployment claims last week.",,,People waiting to speak with representatives from the Oklahoma Employment Security Commission about unemployment claims.,Sue Ogrocki/Associated Press,https://static01.nyt.com/images/2020/10/15/multimedia/15virus-briefing-unemployment/merlin_175935678_5a7eedcc-a603-43a3-aaa9-55d99cbf6dfc-articleLarge.jpg,400,600,https://static01.nyt.com/images/2020/10/15/multimedia/15virus-briefing-unemployment/15virus-briefing-unemployment-thumbStandard.jpg,75,75,"Nearly 900,000 people in the U.S. filed new state unemployment claims last week.","Nearly 900,000 people in the U.S. filed new state unemployment claims last week."
,article,nyt://article/3f2cff4a-eb99-5edd-a36f-4524486f5866,[],Foreign,,,2020-10-14 22:31:45+00:00,World,,The New York Times,,Live Blog Post,nyt://article/3f2cff4a-eb99-5edd-a36f-4524486f5866,https://www.nytimes.com/live/2020/10/14/world/covid-coronavirus/fauci-takes-issue-with-trumps-end-of-year-vaccine-claims,344,By Sheila Kaplan,Fauci takes issue with Trump’s end-of-year vaccine claims.,,,"Dr. Anthony S. Fauci, the nation’s top epidemiologist, said he expected there would be widespread distribution of a vaccine by the end of April.",Alex Edelman/Reuters-Pool Photo,https://static01.nyt.com/images/2020/10/14/us/politics/14virus-briefinging-fauci2/merlin_178437912_6339f07e-60c8-4f72-b006-60e365f67626-articleLarge.jpg,400,600,https://static01.nyt.com/images/2020/10/14/us/politics/14virus-briefinging-fauci2/14virus-briefinging-fauci2-thumbStandard.jpg,75,75,Fauci takes issue with Trump’s end-of-year vaccine claims.,Fauci takes issue with Trump’s end-of-year vaccine claims.
,article,nyt://article/71834bb7-969c-51d5-a357-fa122862935d,[],Foreign,,,2020-10-11 16:39:12+00:00,World,,The New York Times,,Live Blog Post,nyt://article/71834bb7-969c-51d5-a357-fa122862935d,https://www.nytimes.com/live/2020/10/11/world/covid-coronavirus/trump-claims-he-is-now-immune-to-the-coronavirus-and-unable-to-spread-it-twitter-labels-his-post-misleading,404,By Maggie Haberman,Trump claims he is now immune to the coronavirus and unable to spread it. Twitter labels his post misleading.,,,President Trump delivering remarks to supporters from a balcony of the White House overlooking the South Lawn on Saturday.,Doug Mills/The New York Times,https://static01.nyt.com/images/2020/10/11/multimedia/11elections-briefingDtrump/merlin_178326978_77524d5f-f0bc-466f-abe0-0cb21e1f7ca4-articleLarge.jpg,400,600,https://static01.nyt.com/images/2020/10/11/multimedia/11elections-briefingDtrump/11elections-briefingDtrump-thumbStandard.jpg,75,75,Trump claims he is now immune to the coronavirus and unable to spread it. Twitter labels his post misleading.,Trump claims he is now immune to the coronavirus and unable to spread it. Twitter labels his post misleading.
,article,nyt://article/0e7d05cc-5bbb-52a5-b747-1b5882e5ef91,[],Foreign,,,2020-10-08 12:42:03+00:00,World,,The New York Times,,News,nyt://article/0e7d05cc-5bbb-52a5-b747-1b5882e5ef91,https://www.nytimes.com/2020/10/08/world/jobless-claims-in-the-us-remain-well-above-pre-pandemic-levels.html,283,By Ben Casselman,Jobless claims in the U.S. remain well above pre-pandemic levels.,,,"An empty retail space on Madison Avenue in New York. Economists warn that without more aid, layoffs will rise again.",Vincent Tullo for The New York Times,https://static01.nyt.com/images/2020/09/10/business/08markets-brf-jobless/merlin_176318538_e60aef70-30ed-4b2c-9898-0bc659de14de-articleLarge.jpg,400,600,https://static01.nyt.com/images/2020/09/10/business/08markets-brf-jobless/10markets-brf-jobless1-thumbStandard.jpg,75,75,Jobless claims in the U.S. remain well above pre-pandemic levels.,Jobless claims in the U.S. remain well above pre-pandemic levels.
,article,nyt://article/25fb006e-5b5e-5d28-8491-c5d7319b69fd,[],Foreign,,,2020-10-01 12:47:54+00:00,World,,The New York Times,,News,nyt://article/25fb006e-5b5e-5d28-8491-c5d7319b69fd,https://www.nytimes.com/2020/10/01/world/unemployment-claims-in-the-us-show-little-relief-from-pandemic-layoffs.html,219,By Nelson D. Schwartz,Unemployment claims in the U.S. show little relief from pandemic layoffs.,,,"The travel, entertainment, and leisure and hospitality industries have been hit hard by the pandemic. A Las Vegas bar this week had seats aplenty.",Bridget Bennett for The New York Times,https://static01.nyt.com/images/2020/10/01/business/01markets-brf-jobless2/merlin_177755772_cec54199-a9e5-4ac5-8202-a701c46717ee-articleLarge.jpg,400,600,https://static01.nyt.com/images/2020/10/01/business/01markets-brf-jobless2/01markets-brf-jobless2-thumbStandard.jpg,75,75,Unemployment claims in the U.S. show little relief from pandemic layoffs.,Unemployment claims in the U.S. show little relief from pandemic layoffs.
,article,nyt://article/ad49324c-7505-572b-b2ab-a9e1c91caaf0,"[{'name': 'Subject', 'value': 'Disease Rates', 'rank': 1}, {'name': 'Location', 'value': 'United States', 'rank': 2}]",Foreign,,,2020-09-29 10:52:52+00:00,World,,The New York Times,,News,nyt://article/ad49324c-7505-572b-b2ab-a9e1c91caaf0,https://www.nytimes.com/2020/09/29/world/the-pandemic-is-far-from-over-experts-say-despite-trump-allies-claims.html,377,By Donald G. McNeil Jr.,"The pandemic is far from over, experts say, despite Trump allies’ claims.",,,"The Borough Park neighborhood of Brooklyn was hit hard by the coronavirus, reaching thousands of cases and hundreds of deaths by April.",Jonah Markowitz for The New York Times,https://static01.nyt.com/images/2020/09/29/world/29virus-briefing-herd/merlin_172081950_75165cf1-1c76-42b1-8eb0-12fadf6ad6c1-articleLarge.jpg,400,600,https://static01.nyt.com/images/2020/09/29/world/29virus-briefing-herd/merlin_172081950_75165cf1-1c76-42b1-8eb0-12fadf6ad6c1-thumbStandard.jpg,75,75,"The pandemic is far from over, experts say, despite Trump allies’ claims.","The pandemic is far from over, experts say, despite Trump allies’ claims."
Violent clashes between the police and protesters erupted across Belarus on Monday after President Aleksandr G. Lukashenko declared victory in a vote widely dismissed as fraudulent.,article,nyt://article/fc1da729-2610-5292-a96e-0a74d5d00b37,"[{'name': 'Person', 'value': 'Lukashenko, Aleksandr G', 'rank': 1}, {'name': 'Location', 'value': 'Belarus', 'rank': 2}, {'name': 'Subject', 'value': 'Elections', 'rank': 3}, {'name': 'Subject', 'value': 'Demonstrations, Protests and Riots', 'rank': 4}, {'name': 'Subject', 'value': 'Politics and Government', 'rank': 5}, {'name': 'Person', 'value': 'Tikhanovskaya, Svetlana', 'rank': 6}, {'name': 'Subject', 'value': 'Voter Fraud (Election Fraud)', 'rank': 7}]",Foreign,9.0,A,2020-08-10 12:11:42+00:00,World,Violent clashes between the police and protesters erupted across Belarus on Monday after President Aleksandr G. Lukashenko declared victory in a vote widely dismissed as fraudulent.,The New York Times,Europe,News,nyt://article/fc1da729-2610-5292-a96e-0a74d5d00b37,https://www.nytimes.com/2020/08/10/world/europe/belarus-election.html,1350,By Ivan Nechepurenko and Andrew Higgins,Belarus’s Leader Vows to Crush Protests After Claiming Landslide Election Win,,Clashes Convulse Belarus’s Capital After President Claims Landslide,"Police officers detained demonstrators in Minsk, Belarus, on Monday during a protest the day after the country’s presidential election.","Yauhen Yerchak/EPA, via Shutterstock",https://static01.nyt.com/images/2020/08/10/multimedia/10belarus-update/merlin_175562391_8e1c1057-e974-4fe8-8919-bace3a8652d9-articleLarge.jpg,405,600,https://static01.nyt.com/images/2020/08/10/multimedia/10belarus-update/10belarus-update-thumbStandard.jpg,75,75,Belarus’s Leader Vows to Crush Protests After Claiming Landslide Election Win,Belarus’s Leader Vows to Crush Protests After Claiming Landslide Election Win Violent clashes between the police and protesters erupted across Belarus on Monday after President Aleksandr G. Lukashenko declared victory in a vote widely dismissed as fraudulent. Violent clashes between the police and protesters erupted across Belarus on Monday after President Aleksandr G. Lukashenko declared victory in a vote widely dismissed as fraudulent.
A national teachers’ union said teachers might strike as a “last resort” if they didn’t feel safe. Pilgrims to Mecca are finding a reconfigured hajj.,article,nyt://article/c3ab03ee-237a-5d12-b663-1dd625dfd590,"[{'name': 'Subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 1}]",Foreign,,,2020-07-28 09:23:13+00:00,World,Republicans included $1.75 billion in the relief proposal for a new headquarters. Democrats say it could benefit President Trump’s hotel. Here’s the latest.,The New York Times,,briefing,nyt://article/c3ab03ee-237a-5d12-b663-1dd625dfd590,https://www.nytimes.com/2020/07/28/world/coronavirus-covid-19.html,5551,,Trump Falsely Claims Much of U.S. Is ‘Corona-Free’,,,,The New York Times,https://static01.nyt.com/images/2020/09/28/us/28a2_rail/us-briefing-promo-image-articleLarge.jpg,338,600,https://static01.nyt.com/images/2020/09/28/us/28a2_rail/us-briefing-promo-image-thumbStandard-v2.jpg,75,75,Trump Falsely Claims Much of U.S. Is ‘Corona-Free’,Trump Falsely Claims Much of U.S. Is ‘Corona-Free’ A national teachers’ union said teachers might strike as a “last resort” if they didn’t feel safe. Pilgrims to Mecca are finding a reconfigured hajj. Republicans included $1.75 billion in the relief proposal for a new headquarters. Democrats say it could benefit President Trump’s hotel. Here’s the latest.
